ITI,StimTime,NodTime,ITIcross,Stimulus,Nod1,Nod2,Shock
2,4,0,ITIwhitecross,ITIwhitecross,ITIwhitecross,ITIwhitecross,0
8,4,1,ITIwhitecross,ACSp,ACSp_1,ACSp_2,1
12,4,2.5,ITIwhitecross,ACSp,ACSp_1,ACSp_2,0
7,4,0,ITIwhitecross,ACSm,ACSm_1,ACSm_2,0
13,4,3,ITIwhitecross,ACSp,ACSp_1,ACSp_2,0
8,4,0,ITIwhitecross,ACSm,ACSm_1,ACSm_2,0
16,4,2,ITIwhitecross,ACSp,ACSp_1,ACSp_2,0
9,4,0,ITIwhitecross,ACSp,ACSp_1,ACSp_2,0
6,4,0,ITIwhitecross,ACSm,ACSm_1,ACSm_2,0
13,4,0,ITIwhitecross,ACSp,ACSp_1,ACSp_2,0
14,4,1,ITIwhitecross,ACSp,ACSp_1,ACSp_2,1
7,4,0,ITIwhitecross,ACSm,ACSm_1,ACSm_2,0
9,4,0,ITIwhitecross,ACSp,ACSp_1,ACSp_2,0
14,4,0,ITIwhitecross,ACSp,ACSp_1,ACSp_2,0
6,4,0,ITIwhitecross,ACSm,ACSm_1,ACSm_2,0
8,4,1.5,ITIwhitecross,ACSm,ACSm_1,ACSm_2,0
8,4,0,ITIwhitecross,ACSm,ACSm_1,ACSm_2,0
6,4,0,ITIwhitecross,ACSp,ACSp_1,ACSp_2,1
16,4,1.5,ITIwhitecross,ACSp,ACSp_1,ACSp_2,0
7,4,2,ITIwhitecross,ACSm,ACSm_1,ACSm_2,0
16,4,0,ITIwhitecross,ACSp,ACSp_1,ACSp_2,1
6,4,2.5,ITIwhitecross,ACSm,ACSm_1,ACSm_2,0
8,4,0,ITIwhitecross,ACSp,ACSp_1,ACSp_2,0
9,4,0,ITIwhitecross,ACSp,ACSp_1,ACSp_2,1
16,4,0,ITIwhitecross,ACSm,ACSm_1,ACSm_2,0
7,4,0,ITIwhitecross,ACSp,ACSp_1,ACSp_2,0
13,4,0,ITIwhitecross,ACSm,ACSm_1,ACSm_2,0
16,4,0,ITIwhitecross,ACSm,ACSm_1,ACSm_2,0
7,4,0,ITIwhitecross,ACSp,ACSp_1,ACSp_2,1
8,4,0,ITIwhitecross,ACSp,ACSp_1,ACSp_2,0
14,4,2,ITIwhitecross,ACSm,ACSm_1,ACSm_2,0
7,4,2,ITIwhitecross,ACSp,ACSp_1,ACSp_2,0
6,4,0,ITIwhitecross,ACSp,ACSp_1,ACSp_2,0
9,4,0,ITIwhitecross,ACSp,ACSp_1,ACSp_2,0
11,4,3,ITIwhitecross,ACSm,ACSm_1,ACSm_2,0
