ITI,StimTime,NodTime,ITIcross,Stimulus,Nod1,Nod2,Shock
2,4,0,ITIwhitecross,ITIwhitecross,ITIwhitecross,ITIwhitecross,0
7,4,0,ITIwhitecross,CCSp,CCSp_1,CCSp_2,1
12,4,0,ITIwhitecross,CCSm,CCSm_1,CCSm_2,0
6,4,0,ITIwhitecross,CCSp,CCSp_1,CCSp_2,0
10,4,2,ITIwhitecross,CCSp,CCSp_1,CCSp_2,0
9,4,0,ITIwhitecross,CCSm,CCSm_1,CCSm_2,0
10,4,1.5,ITIwhitecross,CCSp,CCSp_1,CCSp_2,0
16,4,3,ITIwhitecross,CCSm,CCSm_1,CCSm_2,0
13,4,0,ITIwhitecross,CCSp,CCSp_1,CCSp_2,0
7,4,3,ITIwhitecross,CCSp,CCSp_1,CCSp_2,0
16,4,0,ITIwhitecross,CCSm,CCSm_1,CCSm_2,0
15,4,0,ITIwhitecross,CCSp,CCSp_1,CCSp_2,1
9,4,2.5,ITIwhitecross,CCSp,CCSp_1,CCSp_2,1
16,4,0,ITIwhitecross,CCSm,CCSm_1,CCSm_2,0
7,4,2,ITIwhitecross,CCSp,CCSp_1,CCSp_2,0
13,4,2.5,ITIwhitecross,CCSm,CCSm_1,CCSm_2,0
6,4,0,ITIwhitecross,CCSp,CCSp_1,CCSp_2,1
6,4,2,ITIwhitecross,CCSm,CCSm_1,CCSm_2,0
6,4,0,ITIwhitecross,CCSp,CCSp_1,CCSp_2,0
13,4,0,ITIwhitecross,CCSp,CCSp_1,CCSp_2,0
9,4,2,ITIwhitecross,CCSm,CCSm_1,CCSm_2,0
6,4,1.5,ITIwhitecross,CCSp,CCSp_1,CCSp_2,1
10,4,0,ITIwhitecross,CCSm,CCSm_1,CCSm_2,0
6,4,0,ITIwhitecross,CCSm,CCSm_1,CCSm_2,0
6,4,0,ITIwhitecross,CCSm,CCSm_1,CCSm_2,0
10,4,0,ITIwhitecross,CCSp,CCSp_1,CCSp_2,1
8,4,0,ITIwhitecross,CCSm,CCSm_1,CCSm_2,0
6,4,0,ITIwhitecross,CCSp,CCSp_1,CCSp_2,0
8,4,0,ITIwhitecross,CCSp,CCSp_1,CCSp_2,0
14,4,0,ITIwhitecross,CCSp,CCSp_1,CCSp_2,0
16,4,0,ITIwhitecross,CCSm,CCSm_1,CCSm_2,0
14,4,0,ITIwhitecross,CCSp,CCSp_1,CCSp_2,0
7,4,1,ITIwhitecross,CCSm,CCSm_1,CCSm_2,0
11,4,0,ITIwhitecross,CCSp,CCSp_1,CCSp_2,0
12,4,1,ITIwhitecross,CCSp,CCSp_1,CCSp_2,0
