ITI,StimTime,NodTime,ITIcross,Stimulus,Nod1,Nod2,Shock
2,4,0,ITIwhitecross,ITIwhitecross,ITIwhitecross,ITIwhitecross,0
6,4,2.5,ITIwhitecross,DCSm,DCSm_1,DCSm_2,0
16,4,0,ITIwhitecross,DCSp,DCSp_1,DCSp_2,1
10,4,0,ITIwhitecross,DCSm,DCSm_1,DCSm_2,0
12,4,0,ITIwhitecross,DCSp,DCSp_1,DCSp_2,0
6,4,0,ITIwhitecross,DCSm,DCSm_1,DCSm_2,0
14,4,2,ITIwhitecross,DCSp,DCSp_1,DCSp_2,1
10,4,2,ITIwhitecross,DCSp,DCSp_1,DCSp_2,0
13,4,0,ITIwhitecross,DCSm,DCSm_1,DCSm_2,0
8,4,1,ITIwhitecross,DCSp,DCSp_1,DCSp_2,0
16,4,0,ITIwhitecross,DCSp,DCSp_1,DCSp_2,0
6,4,3,ITIwhitecross,DCSm,DCSm_1,DCSm_2,0
6,4,0,ITIwhitecross,DCSp,DCSp_1,DCSp_2,1
15,4,0,ITIwhitecross,DCSp,DCSp_1,DCSp_2,1
9,4,0,ITIwhitecross,DCSp,DCSp_1,DCSp_2,0
16,4,0,ITIwhitecross,DCSm,DCSm_1,DCSm_2,0
6,4,0,ITIwhitecross,DCSp,DCSp_1,DCSp_2,1
13,4,1.5,ITIwhitecross,DCSm,DCSm_1,DCSm_2,0
7,4,0,ITIwhitecross,DCSp,DCSp_1,DCSp_2,0
10,4,2.5,ITIwhitecross,DCSp,DCSp_1,DCSp_2,0
8,4,0,ITIwhitecross,DCSm,DCSm_1,DCSm_2,0
12,4,0,ITIwhitecross,DCSm,DCSm_1,DCSm_2,0
6,4,0,ITIwhitecross,DCSm,DCSm_1,DCSm_2,0
13,4,1,ITIwhitecross,DCSp,DCSp_1,DCSp_2,0
9,4,0,ITIwhitecross,DCSp,DCSp_1,DCSp_2,0
9,4,2,ITIwhitecross,DCSm,DCSm_1,DCSm_2,0
13,4,0,ITIwhitecross,DCSp,DCSp_1,DCSp_2,0
6,4,0,ITIwhitecross,DCSp,DCSp_1,DCSp_2,0
14,4,0,ITIwhitecross,DCSm,DCSm_1,DCSm_2,0
6,4,1.5,ITIwhitecross,DCSp,DCSp_1,DCSp_2,1
6,4,0,ITIwhitecross,DCSp,DCSp_1,DCSp_2,0
12,4,0,ITIwhitecross,DCSm,DCSm_1,DCSm_2,0
6,4,3,ITIwhitecross,DCSp,DCSp_1,DCSp_2,0
13,4,0,ITIwhitecross,DCSp,DCSp_1,DCSp_2,0
8,4,2,ITIwhitecross,DCSm,DCSm_1,DCSm_2,0
