ITI,StimTime,NodTime,ITIcross,Stimulus,Nod1,Nod2,Shock
2,4,0,ITIwhitecross,ITIwhitecross,ITIwhitecross,ITIwhitecross,0
14,4,0,ITIwhitecross,ECSm,ECSm_1,ECSm_2,0
10,4,2.5,ITIwhitecross,ECSp,ECSp_1,ECSp_2,1
14,4,0,ITIwhitecross,ECSp,ECSp_1,ECSp_2,0
6,4,0,ITIwhitecross,ECSm,ECSm_1,ECSm_2,0
13,4,0,ITIwhitecross,ECSp,ECSp_1,ECSp_2,0
6,4,0,ITIwhitecross,ECSp,ECSp_1,ECSp_2,1
16,4,1,ITIwhitecross,ECSm,ECSm_1,ECSm_2,0
7,4,3,ITIwhitecross,ECSm,ECSm_1,ECSm_2,0
10,4,0,ITIwhitecross,ECSm,ECSm_1,ECSm_2,0
12,4,0,ITIwhitecross,ECSp,ECSp_1,ECSp_2,0
15,4,0,ITIwhitecross,ECSp,ECSp_1,ECSp_2,1
12,4,0,ITIwhitecross,ECSp,ECSp_1,ECSp_2,0
9,4,2,ITIwhitecross,ECSm,ECSm_1,ECSm_2,0
9,4,3,ITIwhitecross,ECSp,ECSp_1,ECSp_2,1
6,4,0,ITIwhitecross,ECSm,ECSm_1,ECSm_2,0
16,4,0,ITIwhitecross,ECSp,ECSp_1,ECSp_2,1
8,4,1.5,ITIwhitecross,ECSm,ECSm_1,ECSm_2,0
6,4,2,ITIwhitecross,ECSp,ECSp_1,ECSp_2,0
9,4,0,ITIwhitecross,ECSp,ECSp_1,ECSp_2,0
9,4,0,ITIwhitecross,ECSm,ECSm_1,ECSm_2,0
8,4,1,ITIwhitecross,ECSp,ECSp_1,ECSp_2,0
12,4,0,ITIwhitecross,ECSm,ECSm_1,ECSm_2,0
6,4,0,ITIwhitecross,ECSp,ECSp_1,ECSp_2,0
13,4,2,ITIwhitecross,ECSp,ECSp_1,ECSp_2,0
16,4,0,ITIwhitecross,ECSm,ECSm_1,ECSm_2,0
8,4,0,ITIwhitecross,ECSp,ECSp_1,ECSp_2,0
10,4,0,ITIwhitecross,ECSm,ECSm_1,ECSm_2,0
6,4,0,ITIwhitecross,ECSp,ECSp_1,ECSp_2,1
14,4,0,ITIwhitecross,ECSp,ECSp_1,ECSp_2,0
7,4,1.5,ITIwhitecross,ECSm,ECSm_1,ECSm_2,0
6,4,0,ITIwhitecross,ECSp,ECSp_1,ECSp_2,0
10,4,0,ITIwhitecross,ECSm,ECSm_1,ECSm_2,0
10,4,2.5,ITIwhitecross,ECSp,ECSp_1,ECSp_2,0
7,4,2,ITIwhitecross,ECSp,ECSp_1,ECSp_2,0
